Subnet,Source
23.89.0.0/16,Webex Device
62.109.192.0/18,Webex Device
85.119.56.0/23,Webex Device
128.177.14.0/24,Webex Device
128.177.36.0/24,Webex Device
135.84.168.0/21,Webex Device
139.177.64.0/21,Webex Device
139.177.72.0/23,Webex Device
144.196.0.0/16,Webex Device
150.253.128.0/17,Webex Device
163.129.0.0/17,Webex Device
170.72.0.0/16,Webex Device
170.133.128.0/18,Webex Device
185.115.196.0/22,Webex Device
199.19.196.0/23,Webex Device
199.19.199.0/24,Webex Device
199.59.64.0/21,Webex Device
64.68.96.0/19,Webex Device
66.114.160.0/20,Webex Device
66.163.32.0/19,Webex Device
69.26.160.0/19,Webex Device
114.29.192.0/19,Webex Device
173.39.224.0/19,Webex Device
173.243.0.0/20,Webex Device
207.182.160.0/19,Webex Device
209.197.192.0/19,Webex Device
210.4.192.0/20,Webex Device
216.151.128.0/19,Webex Device
163.129.0.0/16,Webex Device
4.152.214.0/24,Webex Device
66.163.32.0/19,Webex Device
4.158.208.0/24,Webex Device
69.26.160.0/19,Webex Device
4.175.120.0/24,Webex Device
114.29.192.0/19,Webex Device
4.152.180.0/24,Webex Device
144.196.0.0/16,Webex Device
20.50.235.0/24,Webex Device
150.253.128.0/17,Webex Device
20.53.87.0/24,Webex Device
163.129.0.0/16,Webex Device
20.57.87.0/24,Webex Device
170.72.0.0/16,Webex Device
20.68.154.0/24,Webex Device
170.133.128.0/18,Webex Device
20.76.127.0/24,Webex Device
173.39.224.0/19,Webex Device
20.108.99.0/24,Webex Device
173.243.0.0/20,Webex Device
20.120.238.0/23,Webex Device
207.182.160.0/19,Webex Device
23.89.0.0/16,Webex Device
209.197.192.0/19,Webex Device
40.119.234.0/24,Webex Device
210.4.192.0/20,Webex Device
44.234.52.192/26,Webex Device
216.151.128.0/19,Webex Device
52.232.210.0/24,Webex Device
62.109.192.0/18,Webex Device
64.68.96.0/19,Webex Device
192.251.199.118,Goldline IP
192.251.199.119,Goldline IP
192.251.199.120,Goldline IP
192.251.199.121,Goldline IP
192.251.199.156,Goldline IP
64.119.212.204,Goldline IP
64.119.212.205,Goldline IP
64.119.212.206,Goldline IP
64.119.212.207,Goldline IP
